"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"LA00615450","velutina","-118.021633","36.313727","Arizona ash","1130973","1933-08-18","UCLA","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCSB006332","velutina","-118.118113","36.502006","Arizona ash","3141592","1912-06-25","UCSB","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"SD113810","velutina","-118.032","36.4307","Arizona ash","50000000","1940-11-02","SDNHM","Inyo","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62969","velutina","-116.300832","36.394852","Arizona ash","50265482","1965-07-22","U Nevada, Reno","?","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62974","velutina","-116.306304","36.429264","Arizona ash","25446","1970-10-08","U Nevada, Reno","?","medium","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62977","velutina","-115.483559","36.123208","Arizona ash","502654","1977-05-19","U Nevada, Reno","?","medium","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62978","velutina","-116.28971","36.36909","Arizona ash","2949832","1978-04-29","U Nevada, Reno","?","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62979","velutina","-116.32228","36.4182","Arizona ash","7068583","1960-04-18","U Nevada, Reno","?","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62981","velutina","-115.448551","36.084405","Arizona ash","1521837","1939-07-13","U Nevada, Reno","?","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62983","velutina","-115.460006","36.067748","Arizona ash","1521837","1938-04-30","U Nevada, Reno","?","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62985","velutina","-115.473295","36.065272","Arizona ash","284631","1939-05-03","U Nevada, Reno","?","medium","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1031594","velutina","-122.108333","37.45","Arizona ash","50000000","1959-07-27","Cal BG","Santa Clara","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"62986","velutina","-118.78043","39.458391","Arizona ash","1521837","1942-06-15","U Nevada, Reno","?","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"svy5064","pennsylvanica","-117.580337","34.277653","Arizona ash","","2008-03-01","","San Bernardino","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"d167","velutina","-121.675015","38.235269","Arizona ash","","2005-08-15","DFW Vegetation Classification and Mapping Program","Solano","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"d173","velutina","-121.739543","38.260024","Arizona ash","","2005-08-16","DFW Vegetation Classification and Mapping Program","Solano","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
