"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"po177410","dipetala","-120.763893","36.358012","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177411","dipetala","-120.770081","36.357667","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177412","dipetala","-120.898179","36.374012","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177413","dipetala","-120.896847","36.377165","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177414","dipetala","-120.895928","36.375567","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177415","dipetala","-120.900565","36.376216","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177416","dipetala","-120.902089","36.376761","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177417","dipetala","-120.908175","36.375141","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177418","dipetala","-120.91307","36.375334","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177419","dipetala","-120.911748","36.373163","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
