species,common_name,x,y
Fraxinus latifolia,Oregon ash,-121.44105,37.801527
Fraxinus latifolia,Oregon ash,-121.572821,38.35035
Fraxinus latifolia,Oregon ash,-121.579676,38.345666
Fraxinus latifolia,Oregon ash,-121.342258,38.358815
Fraxinus latifolia,Oregon ash,-121.328879,38.364798
Fraxinus latifolia,Oregon ash,-121.72878,38.101466
Fraxinus latifolia,Oregon ash,-121.435712,38.257889
Fraxinus latifolia,Oregon ash,-121.413701,38.239922
Fraxinus latifolia,Oregon ash,-121.63343,38.291116
Fraxinus latifolia,Oregon ash,-121.629469,38.29198
Fraxinus latifolia,Oregon ash,-121.62633,38.291096
Fraxinus latifolia,Oregon ash,-121.586065,38.327251
Fraxinus latifolia,Oregon ash,-121.611969,38.28862
Fraxinus latifolia,Oregon ash,-121.587973,38.284873
Fraxinus latifolia,Oregon ash,-121.279469,38.416916
Fraxinus latifolia,Oregon ash,-121.293283,38.240368
Fraxinus latifolia,Oregon ash,-121.206208,38.160218
Fraxinus latifolia,Oregon ash,-121.226405,38.3109
Fraxinus latifolia,Oregon ash,-121.226412,38.310134
Fraxinus latifolia,Oregon ash,-121.380464,38.29543
Fraxinus latifolia,Oregon ash,-121.378249,38.307601
Fraxinus latifolia,Oregon ash,-121.378297,38.312675
Fraxinus latifolia,Oregon ash,-121.343332,38.331255
Fraxinus latifolia,Oregon ash,-121.216963,37.629369
Fraxinus latifolia,Oregon ash,-121.150774,38.072946
Fraxinus latifolia,Oregon ash,-121.123837,38.072032
Fraxinus latifolia,Oregon ash,-121.589862,38.13263
Fraxinus latifolia,Oregon ash,-121.601438,38.232018
Fraxinus latifolia,Oregon ash,-121.616779,38.195359
Fraxinus latifolia,Oregon ash,-121.603486,38.237864
Fraxinus latifolia,Oregon ash,-121.556226,38.209049
Fraxinus latifolia,Oregon ash,-121.555888,38.219192
Fraxinus latifolia,Oregon ash,-121.405517,38.261006
Fraxinus latifolia,Oregon ash,-121.092707,38.205135
Fraxinus latifolia,Oregon ash,-121.087587,38.052298
Fraxinus latifolia,Oregon ash,-121.094205,38.204619
Fraxinus latifolia,Oregon ash,-121.374588,37.821925
Fraxinus latifolia,Oregon ash,-120.757317,37.636691
Fraxinus latifolia,Oregon ash,-120.848813,37.366296
Fraxinus latifolia,Oregon ash,-120.664672,37.424326
Fraxinus latifolia,Oregon ash,-120.971876,37.365921
Fraxinus latifolia,Oregon ash,-120.959239,37.351013
Fraxinus latifolia,Oregon ash,-120.844098,37.619033
Fraxinus latifolia,Oregon ash,-120.984818,37.62801
Fraxinus latifolia,Oregon ash,-120.974899,37.647766
Fraxinus latifolia,Oregon ash,-120.980532,37.645699
Fraxinus latifolia,Oregon ash,-121.229817,37.66499
Fraxinus latifolia,Oregon ash,-121.143794,37.71993
Fraxinus latifolia,Oregon ash,-121.206327,37.624954
Fraxinus latifolia,Oregon ash,-120.05372,36.822044
Fraxinus latifolia,Oregon ash,-120.056736,36.823191
Fraxinus latifolia,Oregon ash,-120.060388,36.821471
Fraxinus latifolia,Oregon ash,-119.904211,36.849258
Fraxinus latifolia,Oregon ash,-121.422814,38.261871
Fraxinus latifolia,Oregon ash,-121.526477,38.228118
Fraxinus latifolia,Oregon ash,-121.419089,38.269724
Fraxinus latifolia,Oregon ash,-121.418207,38.262962
